id,source,country,author,rating,title,review,date,likes,version,url
tw_2079602695082848624,twitter,IN,Varun_Devil28,,,"@blinkitcares @letsblinkit are more money minded rather customer friendly, So my kid mistakenly placed an order which I don’t even opened, but customer care is not ready to return. I was their 3 years old customer still no mercy. So i deleted account. Worst experience!!!",2026-07-21T16:21:34.000Z,0,,https://twitter.com/i/web/status/2079602695082848624
tw_2079525972219474172,twitter,IN,karan_kuma82334,,,"""My account is on hold due to inactivity. I want to resume working as a delivery partner. Kindly review and reactivate my account.""@blinkitcares @letsblinkit @zomato @zomatocare https://t.co/x9emUuCiSM",2026-07-21T11:16:42.000Z,1,,https://twitter.com/i/web/status/2079525972219474172
tw_2079591079280873472,twitter,IN,sahiljainnhk95,,,"Hey @letsblinkit, my order was marked ""Delivered"" 3 days ago, but I never received it! ❌ No delivery, no call from the rider, but the app says otherwise. Please investigate this immediately and resolve my issue.Order Id ORD50753830833
#Blinkit #BadService #CustomerComplaint",2026-07-21T15:35:24.000Z,0,,https://twitter.com/i/web/status/2079591079280873472
tw_2079580954474217746,twitter,IN,anuragmsharma94,,,"First @letsblinkit says add items over 499 for no surge charge... Latter they still charge it !!! 
Scammers #BlinkitScam 
@blinkitcares @albinder look at your team !! 
Funfact : It's not raining from past 30 mins !! https://t.co/wR6QiWKLV0",2026-07-21T14:55:10.000Z,0,,https://twitter.com/i/web/status/2079580954474217746
tw_2079046721053802743,twitter,IN,credit9card,,,@letsblinkit @blinkitcares @deepigoyal stop sending jehadi delivery boys,2026-07-20T03:32:19.000Z,1,,https://twitter.com/i/web/status/2079046721053802743
tw_2076728863854678103,twitter,IN,ronnybhaiya,,,"Hello @letsblinkit , what's ur new scam is going on, I ordered iphone 17 air back cover and received used &amp; dirty cover, I raised this concern with blinkit support just after receiving the product along with complete video. https://t.co/Amx43vpGt1",2026-07-13T18:01:59.000Z,0,,https://twitter.com/i/web/status/2076728863854678103
tw_2077727811847274556,twitter,IN,blinkitcares,,,"@ronnybhaiya Hi Prem, extremely sorry for the experience you had. We kindly request that you refer to the conversation established via DM. ~TD",2026-07-16T12:11:27.000Z,0,,https://twitter.com/i/web/status/2077727811847274556
tw_2079164144234930610,twitter,IN,ronnybhaiya,,,"@blinkitcares Hi @letsblinkit I haven't received any progress or resolution on my issue, better call scammed by @letsblinkit . U guys r not responding even, though it's already 5days since details shares.
@PiyushGoyalOffc",2026-07-20T11:18:55.000Z,3,,https://twitter.com/i/web/status/2079164144234930610
tw_2079205758710034942,twitter,IN,theprajwalp3722,,,"Probably arguably one of the best features of @letsblinkit ♥️🐐🙏🏼

@deepigoyal @albinder https://t.co/rCUmeym02J",2026-07-20T14:04:17.000Z,1,,https://twitter.com/i/web/status/2079205758710034942
tw_2079265889493631130,twitter,IN,sardamit,,,blinkit’s state of the art customer support https://t.co/8uAapXtpah,2026-07-20T18:03:13.000Z,2,,https://twitter.com/i/web/status/2079265889493631130
tw_2079120805129265340,twitter,IN,Anivesh18367,,,@letsblinkit your support system is broken. Tried to report an issue but the support chat is stuck camera doesn't open and the text box is missing &amp; customer care just brushed it off as wrong order without even listening properly. Is this the quick commerce experience @albinder https://t.co/B8fFTRsNjS,2026-07-20T08:26:42.000Z,1,,https://twitter.com/i/web/status/2079120805129265340
tw_1982708267496382935,twitter,IN,twinitisha,,,"Chaotic Monday. First my Blinkit payment went through for the coffee I ordered but the order never generated. So money gone! Trying to get it back through Blinkit support. 

Outside some loudspeaker blaring songs for Chhat pooja. At the same time the garbage van playing “swachhta pe rakhe kadam” on high
🙄🙄
Chal kya raha hai yaar?",2025-10-27T07:17:42.000Z,12,,https://twitter.com/i/web/status/1982708267496382935
tw_2053873890200547720,twitter,IN,FarziOp12724,,,"How blinkit support work 🤣 5 day done without any reason my account was suspended end I send mail end call but nothing response 

Swiggy zepto customer support 10000% better 

Don't buy anything from this app because you face any problem no response 

@blinkitcares #blinkitscam https://t.co/8yfcQpGDFe",2026-05-11T16:24:29.000Z,0,,https://twitter.com/i/web/status/2053873890200547720
tw_2065477922077679804,twitter,IN,vihaan10_01,,,".@blinkitcares 
Order ID - ORD75124361032

I have attached all the information and details and the blinkit support person Alka has not done anything to help. Hasn't helped me connect with the delivery person and that they'll take it as feedback. Worst experience Blinkit. https://t.co/KDtXB2m7Rn",2026-06-12T16:54:46.000Z,4,,https://twitter.com/i/web/status/2065477922077679804
tw_1948097657588867532,twitter,IN,jaankiii_,,,What kind of folks are these Blinkit people? Support people don’t know the details and then when I tell them they ask me to wait again and again. Arey bhai itna kya hai? Upar se khud galti karo aur hum bhugte.Order sahi se dete nahi Worst services @letsblinkit @blinkitcares,2025-07-23T19:07:30.000Z,1,,https://twitter.com/i/web/status/1948097657588867532
tw_2074024623788999155,twitter,IN,RishitSati1,,,"I ordered smoething on 22 May but cancelled because of some reason but from that day to today i have connected with blinkit support more than 7 times 
And in the last i got a response that i cannot get refund because they don’t have such option.@letsblinkit @blinkitcares @blinkit https://t.co/c8aDb2ac1X",2026-07-06T06:56:18.000Z,2,,https://twitter.com/i/web/status/2074024623788999155
tw_2046484210735845753,twitter,IN,Utsavv_sharma,,,"@blinkit blocked my account in Dec 2024. It’s April 2026. Still blocked.
40+ emails. 4+ months. One response — copy-pasted every single time.
A thread on what @blinkit calls “customer support.” 🧵
#Blinkit #CustomerServiceFail #ConsumerRights",2026-04-21T07:00:32.000Z,2,,https://twitter.com/i/web/status/2046484210735845753
tw_2079578300272570858,twitter,IN,SudhindraSingh5,,,"@blinkitcares @letsblinkit @zomatocare We got the promo code against my refund,but while placing the order promo code option not showing, Blinkit support staying that they can't help on this. Pls support.",2026-07-21T14:44:38.000Z,0,,https://twitter.com/i/web/status/2079578300272570858
tw_1943356560048353724,twitter,IN,bitchwhotfvckk,,,"downloaded blinkit lit today blinkit support se baat karke, nice people",2025-07-10T17:08:04.000Z,3,,https://twitter.com/i/web/status/1943356560048353724
tw_2073688221603844197,twitter,IN,Abhishe76880505,,,"Hey @RockWithboAt and @blinkitcares, I purchased boAt earphones from Blinkit, but they've stopped working from one side within the replacement period. There's only 1 day left in my replacement window. Please help me with a replacement as soon as possible.  #Blinkit https://t.co/K3ku0HRfRE",2026-07-05T08:39:33.000Z,0,,https://twitter.com/i/web/status/2073688221603844197
tw_2073689970871783601,twitter,IN,Abhishe76880505,,,@RockWithboAt https://t.co/hBRNXMO2NU,2026-07-05T08:46:31.000Z,0,,https://twitter.com/i/web/status/2073689970871783601
tw_2073691179867410529,twitter,IN,RockWithboAt,,,"@Abhishe76880505 Hello Abhishek, we regret the inconvenience caused. Please be informed that your product is still under the 7-days exchange period; thus, we request you to reach out to Blinkit Support to get your product replaced.",2026-07-05T08:51:19.000Z,0,,https://twitter.com/i/web/status/2073691179867410529
tw_2038584312111809010,twitter,IN,MsDhenier7,,,Purchased a Quechua chair from @letsblinkit which broke within a month. @Decathlon offers 2 yr warranty on the product but refusing support saying it wasn't purchased from their website. Blinkit isn’t helping either. https://t.co/UVaVeP2W8Q,2026-03-30T11:49:09.000Z,280,,https://twitter.com/i/web/status/2038584312111809010
tw_1802402557886611784,twitter,IN,irationalised,,,Zepto has such horrible customer support the day Blinkit starts delivering to my area I’m deleting that fuckall app,2024-06-16T18:07:11.000Z,90,,https://twitter.com/i/web/status/1802402557886611784
tw_2078415829788737756,twitter,IN,KunalBoras95476,,,"@urbancompany_UC @UC_Assist Is Native M1 Pro Water purifier repair service available for pin code 424105 (Bhadgaon, Jalgaon, Maharashtra)? Please clarify.",2026-07-18T09:45:23.000Z,0,,https://twitter.com/i/web/status/2078415829788737756
tw_2078416995671003492,twitter,IN,UC_Assist,,,"Hi Kunal,

Our services are not yet live in your area. However, you can purchase the Native RO through e-commerce platforms such as Amazon, Flipkart, Croma, Blinkit and Big Basket prices and available offers are listed directly on the respective sites.

Rest assured, we provide installation and post-installation services at no additional cost after delivery. Please note that the only authorized sellers are Primarc Pecan Retail on Amazon and OmniTechRetail and Primarc on Flipkart.

We have a dedicated team to support areas where the Native Water Purifier is delivered through e-commerce platforms. Even if other Urban Company services are not available in your location, we can still assist with installation and post-installation services, provided the product is purchased from our authorized sellers.",2026-07-18T09:50:01.000Z,0,,https://twitter.com/i/web/status/2078416995671003492
tw_2076667975378374684,twitter,IN,rajesh_vaidin,,,"@letsblinkit Can u explain; when it is clearly mentioned that no surge charge if order is above Rs499/- then how are you guys quietly adding surge charge on Rs 899/-?? 
Cust Sup incl Supervisor is only parroting that these are syst generated so we have no ctl on it @albinder https://t.co/r62tOPdrFK",2026-07-13T14:00:02.000Z,0,,https://twitter.com/i/web/status/2076667975378374684
tw_2077244221522952399,twitter,IN,blinkitcares,,,"@rajesh_vaidin Hi Rajesh, we’ve responded to your concern via DM. Kindly check and continue the conversation there so we can assist you further. https://t.co/JpS6nZOXlw ~HG",2026-07-15T04:09:50.000Z,0,,https://twitter.com/i/web/status/2077244221522952399
tw_2077245218777354294,twitter,IN,rajesh_vaidin,,,"@blinkitcares Dear Mr @albinder , is there any grievance mechanism or customers are to keep banging their head against wall? 
Guys can’t be parroting that feedback is taken. It’s not my feedback but complaints against something which is cheating and fleecing customers",2026-07-15T04:13:48.000Z,0,,https://twitter.com/i/web/status/2077245218777354294
tw_2078804827870748982,twitter,IN,ians_india,,,"Noida, Uttar Pradesh: India's first integrated multi-sector global business ecosystem, Global One Consulting Limited, was launched.

Co-founder Tanishka says, ""Today, under the Startup India initiative, we have launched our company, Global One. Global One is a consulting firm that will serve as a bridge between economies that need investment and investors and businesspeople who are looking for opportunities. We will connect the two and facilitate collaboration between them...""

(18.07)",2026-07-19T11:31:07.000Z,0,,https://twitter.com/i/web/status/2078804827870748982
tw_2078808801671827725,twitter,IN,ians_india,,,"Noida, Uttar Pradesh: Global One Consulting Limited Director Ashutosh says, ""We have launched The Big Bargain Project. Under this initiative, we will support small retailers who have been adversely affected by the rapid growth of e-commerce and the digital economy. For example, companies like Blinkit have taken away business from local vendors, and we aim to help those retailers...""

(18.07)",2026-07-19T11:46:55.000Z,0,,https://twitter.com/i/web/status/2078808801671827725
tw_2072997594087956899,twitter,IN,RockWithboAt,,,"@indiandanceworl Hello Vishal, we regret the inconvenience caused. We request you not to raise the warranty ticket for your product because your product is still under the 7-day exchange period; thus, we request you to reach out to Blinkit Support to get your product replaced.",2026-07-03T10:55:15.000Z,0,,https://twitter.com/i/web/status/2072997594087956899
tw_1532723782455988224,twitter,IN,vivekraju93,,,"Sent a pic of rotten eggs I was delivered to blinkit support.

They dispatched a delivery person to pick up the rotten eggs because only then will they process refund. And if you want replacement, they'll send one more delivery person

No wonder their unit economics are f*cked",2022-06-03T14:00:01.000Z,357,,https://twitter.com/i/web/status/1532723782455988224
tw_2079099202332922360,twitter,IN,KursijaShubham,,,I have ordered the milk from blinkit 10 liter all the milk  is spoiled and it’s wasted the customer support is able to help me @letsblinkit  help me otherwise i have to go to consumer forem @blinkitcares,2026-07-20T07:00:52.000Z,0,,https://twitter.com/i/web/status/2079099202332922360
tw_2078383836933824591,twitter,IN,Ayushmangiri1,,,"Hey @letsblinkit, I received a damaged and defective Philips 13-in-1 Trimmer, but your support refused to replace it despite reviewing everything. This is unacceptable. Please resolve this issue.
Order ID: ORD61398783556
#Blinkit #DefectiveProduct #CustomerService https://t.co/JNrRiJeU3r",2026-07-18T07:38:15.000Z,1,,https://twitter.com/i/web/status/2078383836933824591
tw_1951987858610245910,twitter,IN,PrithaS78793182,,,"I placed a grocery order with blinkit. Order id -ORD66242091711. Delivered on time.Later checked and found 15 items missing. Despite several chats and phone calls with blinkit support issue not resolved. Pls help and refund.
@letsblinkit
@albinder 
@deepigoyal
@jagograhakjago https://t.co/V2DDD9FSFp",2025-08-03T12:45:46.000Z,2,,https://twitter.com/i/web/status/1951987858610245910
tw_2007122061513126267,twitter,IN,deepigoyal,,,"Facts below (1/5):

In 2025, average earnings per hour (EPH), excluding tips, for a delivery partner on Zomato were ₹102.
In 2024, this number was ₹92. That’s a ~10.9% year-on-year increase. Over a longer horizon also, EPH has shown steady growth.

Most delivery partners work for a few hours and only a few days in a month. But if someone were to work for 10 hours/day, 26 days/month, this translates to ~₹26,500/month in gross earnings. After accounting for fuel and maintenance (~20%), the net earnings for the partner are ~₹21,000/month.

Note: Earnings per hour are calculated on total hours logged in, including the time when the partner might be waiting to receive an order. Earnings per “busy hour” will be higher but that’s not the right metric to look at.

On top of this - delivery partners earn 100% of tips given by customers. The average tip per hour in 2025 on Zomato was INR 2.6 and in 2024 was INR 2.4 per hour. Tips are transferred instantly, with zero deductions. We absorb the payment gateway processing cost ourselves. About 5% of the orders get tipped on Zomato; 2.5% on Blinkit.",2026-01-02T16:09:24.000Z,17254,,https://twitter.com/i/web/status/2007122061513126267
tw_2007122065501933710,twitter,IN,deepigoyal,,,"Quick commerce’s 10-minute promise DOES NOT put pressure on gig workers, and it DOESN’T lead to unsafe driving. Why? (3/5)

The most common concern is that faster delivery promises translate into pressure on delivery partners to drive unsafely. That isn’t how the system operates.

Firstly, delivery partners are not shown customer-facing time promises. There is no “10-minute timer” or countdown in the delivery app.

10 mins or faster deliveries are primarily due to our stores being closer to customers and not by higher speeds on the road.

In 2025, the average distance travelled per order on Blinkit was 2.03 km. Average driving time was ~8 minutes, which implies an average speed of ~16 km/h.

On Zomato, where delivery times are longer, average driving speeds in 2025 were ~21 km/h. 

As you can see, average driving speeds are broadly similar across Zomato and Blinkit: 10 vs 30 min delivery time is not affected by driving speed. 

Road safety, I agree, remains one of the hardest challenges in any logistics ecosystem. Which needs to be solved with shared responsibility across road builders, rule enforcers, customers and delivery partners alike, regardless of the platform they work with.",2026-01-02T16:09:25.000Z,4449,,https://twitter.com/i/web/status/2007122065501933710
tw_2007122067322212542,twitter,IN,deepigoyal,,,"Gig workers GET welfare benefits AND long term support. (4/5)

In 2025, Zomato and Blinkit spent over ₹100 crore on insurance coverage for delivery partners. These premiums are borne entirely by us, and the benefits are administered with record speed without any fuss.

Coverage includes:

1. Accident insurance with coverage of up to INR 10 lakh:
2. Medical insurance with coverage of INR 1 lakh plus OPD coverage of INR 5,000
3. Loss of pay insurance of up to INR 50,000
4. Maternity insurance with coverage of up to INR 40,000",2026-01-02T16:09:26.000Z,3760,,https://twitter.com/i/web/status/2007122067322212542
tw_1905219130392748287,twitter,IN,lifeofadvait,,,At this point blinkit has better driver support than red bull.,2025-03-27T11:23:32.000Z,28,,https://twitter.com/i/web/status/1905219130392748287
tw_2006421668064104909,twitter,IN,yusufkiammi,,,just saw an influencer posting a reel promoting buying from blinkit tonight for the 12 grapes “trend”. has everyone lost the ability to empathise? support the strike. support gig workers. let’s not go into 2026 promoting inhumane working conditions. https://t.co/wnevsonZo4,2025-12-31T17:46:17.000Z,1903,,https://twitter.com/i/web/status/2006421668064104909
tw_2006669548175634804,twitter,IN,deepigoyal,,,"Zomato and Blinkit delivered at a record pace yesterday, unaffected by calls for strikes that many of us heard over the past few days.

Support from local law enforcement helped keep the small number of miscreants in check, enabling 4.5 lakh+ delivery partners across both platforms to deliver more than 75 lakh orders (all-time high) to over 63 lakh customers during the day. This happened without any additional incentives for delivery partners - NYE does see higher incentives than usual days and yesterday was no different than the past NYE days.

I am grateful to local authorities across the country and to our teams on the ground for clear enforcement and swift coordination.

Most importantly, thank you to our delivery partners who showed up despite intimidation, stood their ground, and chose honest work and progress.

One thought for everyone: if a system were fundamentally unfair, it would not consistently attract and retain so many people who choose to work within it. Please don’t get swept up by narratives pushed by vested interests. 

The gig economy is one of India’s largest organised job creation engines, and its real impact will compound over time, when delivery partners’ children, supported by stable incomes and education, enter the workforce and help transform our country at scale.",2026-01-01T10:11:17.000Z,13199,,https://twitter.com/i/web/status/2006669548175634804
tw_2059996430748766221,twitter,IN,4ntrix,,,"@letsblinkit Very frustrating experience with Blinkit support. A cooling pad stopped working within just 4 days and the app only shows “window closed” with no proper human support option. Customers deserve better support for defective products.
#Blinkit #CustomerSupport",2026-05-28T13:53:16.000Z,2,,https://twitter.com/i/web/status/2059996430748766221
tw_1874823608528503018,twitter,IN,FI_InvestIndia,,,"Blinkit is launching Ambulance in 10 minutes. 

Our Government should support such initiatives. I would love a part of my tax to go for such a cause. Private players can focus on execution & accountability.

Something for @narendramodi and other State Leaders to think about !!!

#FI",2025-01-02T14:22:35.000Z,986,,https://twitter.com/i/web/status/1874823608528503018
